,Classifier,Accuracy
0,RandomForestClassifier-50-None-2-1,0.7953
1,RandomForestClassifier-50-None-2-2,0.8032
2,RandomForestClassifier-50-None-2-4,0.8045
3,RandomForestClassifier-50-None-5-1,0.8045
4,RandomForestClassifier-50-None-5-2,0.8078
5,RandomForestClassifier-50-None-5-4,0.7979
6,RandomForestClassifier-50-None-10-1,0.8052
7,RandomForestClassifier-50-None-10-2,0.8051
8,RandomForestClassifier-50-None-10-4,0.7986
9,RandomForestClassifier-50-10-2-1,0.8045
10,RandomForestClassifier-50-10-2-2,0.8058
11,RandomForestClassifier-50-10-2-4,0.7972
12,RandomForestClassifier-50-10-5-1,0.8058
13,RandomForestClassifier-50-10-5-2,0.8084
14,RandomForestClassifier-50-10-5-4,0.8025
15,RandomForestClassifier-50-10-10-1,0.7999
16,RandomForestClassifier-50-10-10-2,0.8058
17,RandomForestClassifier-50-10-10-4,0.8025
18,RandomForestClassifier-50-20-2-1,0.8025
19,RandomForestClassifier-50-20-2-2,0.8117
20,RandomForestClassifier-50-20-2-4,0.8032
21,RandomForestClassifier-50-20-5-1,0.7992
22,RandomForestClassifier-50-20-5-2,0.8084
23,RandomForestClassifier-50-20-5-4,0.8078
24,RandomForestClassifier-50-20-10-1,0.8032
25,RandomForestClassifier-50-20-10-2,0.7933
26,RandomForestClassifier-50-20-10-4,0.8071
27,RandomForestClassifier-100-None-2-1,0.8150
28,RandomForestClassifier-100-None-2-2,0.8084
29,RandomForestClassifier-100-None-2-4,0.8065
30,RandomForestClassifier-100-None-5-1,0.8104
31,RandomForestClassifier-100-None-5-2,0.8078
32,RandomForestClassifier-100-None-5-4,0.8098
33,RandomForestClassifier-100-None-10-1,0.8058
34,RandomForestClassifier-100-None-10-2,0.8091
35,RandomForestClassifier-100-None-10-4,0.7992
36,RandomForestClassifier-100-10-2-1,0.8051
37,RandomForestClassifier-100-10-2-2,0.8091
38,RandomForestClassifier-100-10-2-4,0.8071
39,RandomForestClassifier-100-10-5-1,0.8097
40,RandomForestClassifier-100-10-5-2,0.8058
41,RandomForestClassifier-100-10-5-4,0.8052
42,RandomForestClassifier-100-10-10-1,0.8137
43,RandomForestClassifier-100-10-10-2,0.8045
44,RandomForestClassifier-100-10-10-4,0.8157
45,RandomForestClassifier-100-20-2-1,0.8130
46,RandomForestClassifier-100-20-2-2,0.8051
47,RandomForestClassifier-100-20-2-4,0.8071
48,RandomForestClassifier-100-20-5-1,0.8104
49,RandomForestClassifier-100-20-5-2,0.8084
50,RandomForestClassifier-100-20-5-4,0.8098
51,RandomForestClassifier-100-20-10-1,0.8084
52,RandomForestClassifier-100-20-10-2,0.8025
53,RandomForestClassifier-100-20-10-4,0.8045
54,RandomForestClassifier-200-None-2-1,0.8098
55,RandomForestClassifier-200-None-2-2,0.8097
56,RandomForestClassifier-200-None-2-4,0.8078
57,RandomForestClassifier-200-None-5-1,0.8104
58,RandomForestClassifier-200-None-5-2,0.8111
59,RandomForestClassifier-200-None-5-4,0.8084
60,RandomForestClassifier-200-None-10-1,0.8104
61,RandomForestClassifier-200-None-10-2,0.8065
62,RandomForestClassifier-200-None-10-4,0.8098
63,RandomForestClassifier-200-10-2-1,0.8084
64,RandomForestClassifier-200-10-2-2,0.8111
65,RandomForestClassifier-200-10-2-4,0.8058
66,RandomForestClassifier-200-10-5-1,0.8150
67,RandomForestClassifier-200-10-5-2,0.8071
68,RandomForestClassifier-200-10-5-4,0.8098
69,RandomForestClassifier-200-10-10-1,0.8117
70,RandomForestClassifier-200-10-10-2,0.8104
71,RandomForestClassifier-200-10-10-4,0.8078
72,RandomForestClassifier-200-20-2-1,0.8130
73,RandomForestClassifier-200-20-2-2,0.8117
74,RandomForestClassifier-200-20-2-4,0.8032
75,RandomForestClassifier-200-20-5-1,0.8097
76,RandomForestClassifier-200-20-5-2,0.8130
77,RandomForestClassifier-200-20-5-4,0.8150
78,RandomForestClassifier-200-20-10-1,0.8091
79,RandomForestClassifier-200-20-10-2,0.8058
80,RandomForestClassifier-200-20-10-4,0.8045
81,LogisticRegression-0.001-l1-liblinear,0.6820
82,LogisticRegression-0.001-l1-saga,0.6656
83,LogisticRegression-0.001-l2-liblinear,0.7893
84,LogisticRegression-0.001-l2-saga,0.7874
85,LogisticRegression-0.01-l1-liblinear,0.7564
86,LogisticRegression-0.01-l1-saga,0.7637
87,LogisticRegression-0.01-l2-liblinear,0.7926
88,LogisticRegression-0.01-l2-saga,0.7906
89,LogisticRegression-0.1-l1-liblinear,0.7867
90,LogisticRegression-0.1-l1-saga,0.7867
91,LogisticRegression-0.1-l2-liblinear,0.7880
92,LogisticRegression-0.1-l2-saga,0.7880
93,LogisticRegression-1-l1-liblinear,0.7874
94,LogisticRegression-1-l1-saga,0.7874
95,LogisticRegression-1-l2-liblinear,0.7880
96,LogisticRegression-1-l2-saga,0.7867
97,LogisticRegression-10-l1-liblinear,0.7880
98,LogisticRegression-10-l1-saga,0.7867
99,LogisticRegression-10-l2-liblinear,0.7880
100,LogisticRegression-10-l2-saga,0.7867
101,LogisticRegression-100-l1-liblinear,0.7880
102,LogisticRegression-100-l1-saga,0.7860
103,LogisticRegression-100-l2-liblinear,0.7880
104,LogisticRegression-100-l2-saga,0.7860
105,"MLPClassifier-(50,)-relu-0.0001-200",0.7946
106,"MLPClassifier-(50,)-relu-0.0001-500",0.7973
107,"MLPClassifier-(50,)-relu-0.0001-1000",0.7979
108,"MLPClassifier-(50,)-relu-0.001-200",0.8005
