,Classifier,Accuracy
0,RandomForestClassifier-50-None-2-1,0.8084
1,RandomForestClassifier-50-None-2-2,0.8078
2,RandomForestClassifier-50-None-2-4,0.8091
3,RandomForestClassifier-50-None-5-1,0.8183
4,RandomForestClassifier-50-None-5-2,0.8170
5,RandomForestClassifier-50-None-5-4,0.8038
6,RandomForestClassifier-50-None-10-1,0.8183
7,RandomForestClassifier-50-None-10-2,0.8143
8,RandomForestClassifier-50-None-10-4,0.8058
9,RandomForestClassifier-50-10-2-1,0.7939
10,RandomForestClassifier-50-10-2-2,0.7933
11,RandomForestClassifier-50-10-2-4,0.7913
12,RandomForestClassifier-50-10-5-1,0.7887
13,RandomForestClassifier-50-10-5-2,0.7900
14,RandomForestClassifier-50-10-5-4,0.7887
15,RandomForestClassifier-50-10-10-1,0.7860
16,RandomForestClassifier-50-10-10-2,0.7887
17,RandomForestClassifier-50-10-10-4,0.7887
18,RandomForestClassifier-50-20-2-1,0.8091
19,RandomForestClassifier-50-20-2-2,0.8111
20,RandomForestClassifier-50-20-2-4,0.8071
21,RandomForestClassifier-50-20-5-1,0.8130
22,RandomForestClassifier-50-20-5-2,0.8163
23,RandomForestClassifier-50-20-5-4,0.8078
24,RandomForestClassifier-50-20-10-1,0.8104
25,RandomForestClassifier-50-20-10-2,0.8084
26,RandomForestClassifier-50-20-10-4,0.8005
27,RandomForestClassifier-100-None-2-1,0.8051
28,RandomForestClassifier-100-None-2-2,0.8124
29,RandomForestClassifier-100-None-2-4,0.8111
30,RandomForestClassifier-100-None-5-1,0.8111
31,RandomForestClassifier-100-None-5-2,0.8216
32,RandomForestClassifier-100-None-5-4,0.8071
33,RandomForestClassifier-100-None-10-1,0.8209
34,RandomForestClassifier-100-None-10-2,0.8170
35,RandomForestClassifier-100-None-10-4,0.8104
36,RandomForestClassifier-100-10-2-1,0.7906
37,RandomForestClassifier-100-10-2-2,0.7939
38,RandomForestClassifier-100-10-2-4,0.7953
39,RandomForestClassifier-100-10-5-1,0.7893
40,RandomForestClassifier-100-10-5-2,0.7880
41,RandomForestClassifier-100-10-5-4,0.7939
42,RandomForestClassifier-100-10-10-1,0.7926
43,RandomForestClassifier-100-10-10-2,0.7920
44,RandomForestClassifier-100-10-10-4,0.7972
45,RandomForestClassifier-100-20-2-1,0.8150
46,RandomForestClassifier-100-20-2-2,0.8104
47,RandomForestClassifier-100-20-2-4,0.8064
48,RandomForestClassifier-100-20-5-1,0.8130
49,RandomForestClassifier-100-20-5-2,0.8137
50,RandomForestClassifier-100-20-5-4,0.8045
51,RandomForestClassifier-100-20-10-1,0.8124
52,RandomForestClassifier-100-20-10-2,0.8196
53,RandomForestClassifier-100-20-10-4,0.8012
54,RandomForestClassifier-200-None-2-1,0.8157
55,RandomForestClassifier-200-None-2-2,0.8104
56,RandomForestClassifier-200-None-2-4,0.8078
57,RandomForestClassifier-200-None-5-1,0.8183
58,RandomForestClassifier-200-None-5-2,0.8176
59,RandomForestClassifier-200-None-5-4,0.8117
60,RandomForestClassifier-200-None-10-1,0.8209
61,RandomForestClassifier-200-None-10-2,0.8150
62,RandomForestClassifier-200-None-10-4,0.8071
63,RandomForestClassifier-200-10-2-1,0.7906
64,RandomForestClassifier-200-10-2-2,0.7887
65,RandomForestClassifier-200-10-2-4,0.7985
66,RandomForestClassifier-200-10-5-1,0.7880
67,RandomForestClassifier-200-10-5-2,0.7847
68,RandomForestClassifier-200-10-5-4,0.7926
69,RandomForestClassifier-200-10-10-1,0.7913
70,RandomForestClassifier-200-10-10-2,0.7906
