,Classifier,Accuracy
0,RandomForestClassifier-50-None-2-1,0.7827
1,RandomForestClassifier-50-None-2-2,0.7637
2,RandomForestClassifier-50-None-2-4,0.7716
3,RandomForestClassifier-50-None-5-1,0.7551
4,RandomForestClassifier-50-None-5-2,0.7564
5,RandomForestClassifier-50-None-5-4,0.7735
6,RandomForestClassifier-50-None-10-1,0.7775
7,RandomForestClassifier-50-None-10-2,0.7663
8,RandomForestClassifier-50-None-10-4,0.7650
9,RandomForestClassifier-50-10-2-1,0.7663
10,RandomForestClassifier-50-10-2-2,0.7643
11,RandomForestClassifier-50-10-2-4,0.7735
12,RandomForestClassifier-50-10-5-1,0.7610
13,RandomForestClassifier-50-10-5-2,0.7749
14,RandomForestClassifier-50-10-5-4,0.7604
15,RandomForestClassifier-50-10-10-1,0.7630
16,RandomForestClassifier-50-10-10-2,0.7670
17,RandomForestClassifier-50-10-10-4,0.7643
18,RandomForestClassifier-50-20-2-1,0.7591
19,RandomForestClassifier-50-20-2-2,0.7716
20,RandomForestClassifier-50-20-2-4,0.7788
21,RandomForestClassifier-50-20-5-1,0.7623
22,RandomForestClassifier-50-20-5-2,0.7748
23,RandomForestClassifier-50-20-5-4,0.7597
24,RandomForestClassifier-50-20-10-1,0.7709
25,RandomForestClassifier-50-20-10-2,0.7663
26,RandomForestClassifier-50-20-10-4,0.7676
27,RandomForestClassifier-100-None-2-1,0.7795
28,RandomForestClassifier-100-None-2-2,0.7801
29,RandomForestClassifier-100-None-2-4,0.7788
30,RandomForestClassifier-100-None-5-1,0.7643
31,RandomForestClassifier-100-None-5-2,0.7874
32,RandomForestClassifier-100-None-5-4,0.7716
33,RandomForestClassifier-100-None-10-1,0.7689
34,RandomForestClassifier-100-None-10-2,0.7762
35,RandomForestClassifier-100-None-10-4,0.7735
36,RandomForestClassifier-100-10-2-1,0.7808
37,RandomForestClassifier-100-10-2-2,0.7729
38,RandomForestClassifier-100-10-2-4,0.7887
39,RandomForestClassifier-100-10-5-1,0.7788
40,RandomForestClassifier-100-10-5-2,0.7663
41,RandomForestClassifier-100-10-5-4,0.7775
42,RandomForestClassifier-100-10-10-1,0.7768
43,RandomForestClassifier-100-10-10-2,0.7827
44,RandomForestClassifier-100-10-10-4,0.7643
45,RandomForestClassifier-100-20-2-1,0.7748
46,RandomForestClassifier-100-20-2-2,0.7689
47,RandomForestClassifier-100-20-2-4,0.7755
48,RandomForestClassifier-100-20-5-1,0.7860
49,RandomForestClassifier-100-20-5-2,0.7781
50,RandomForestClassifier-100-20-5-4,0.7788
51,RandomForestClassifier-100-20-10-1,0.7696
52,RandomForestClassifier-100-20-10-2,0.7735
53,RandomForestClassifier-100-20-10-4,0.7867
54,RandomForestClassifier-200-None-2-1,0.7874
55,RandomForestClassifier-200-None-2-2,0.7847
56,RandomForestClassifier-200-None-2-4,0.7748
57,RandomForestClassifier-200-None-5-1,0.7847
58,RandomForestClassifier-200-None-5-2,0.7775
59,RandomForestClassifier-200-None-5-4,0.7834
60,RandomForestClassifier-200-None-10-1,0.7893
61,RandomForestClassifier-200-None-10-2,0.7906
62,RandomForestClassifier-200-None-10-4,0.7781
63,RandomForestClassifier-200-10-2-1,0.7722
64,RandomForestClassifier-200-10-2-2,0.7900
65,RandomForestClassifier-200-10-2-4,0.7834
66,RandomForestClassifier-200-10-5-1,0.7808
67,RandomForestClassifier-200-10-5-2,0.7709
68,RandomForestClassifier-200-10-5-4,0.7729
69,RandomForestClassifier-200-10-10-1,0.7939
70,RandomForestClassifier-200-10-10-2,0.7841
71,RandomForestClassifier-200-10-10-4,0.7775
