,Classifier,Accuracy
0,LinearRegression-0.001-l1-liblinear,-23804644783006964252672.0000
1,"MLPRegressor-(50,)-relu-0.0001-200",-1.5518
2,"MLPRegressor-(50,)-relu-0.0001-500",-1.2417
3,"MLPRegressor-(50,)-relu-0.0001-1000",-1.1356
4,"MLPRegressor-(50,)-relu-0.001-200",-1.1921
5,"MLPRegressor-(50,)-relu-0.001-500",-1.1558
6,"MLPRegressor-(50,)-relu-0.001-1000",-1.1496
7,"MLPRegressor-(50,)-relu-0.01-200",-1.2462
8,"MLPRegressor-(50,)-relu-0.01-500",-1.2823
9,"MLPRegressor-(50,)-relu-0.01-1000",-1.2117
10,"MLPRegressor-(50,)-tanh-0.0001-200",-3.5822
11,"MLPRegressor-(50,)-tanh-0.0001-500",-3.7909
12,"MLPRegressor-(50,)-tanh-0.0001-1000",-3.6392
13,"MLPRegressor-(50,)-tanh-0.001-200",-3.3915
14,"MLPRegressor-(50,)-tanh-0.001-500",-4.0820
15,"MLPRegressor-(50,)-tanh-0.001-1000",-3.9949
16,"MLPRegressor-(50,)-tanh-0.01-200",-3.4974
17,"MLPRegressor-(50,)-tanh-0.01-500",-3.6748
18,"MLPRegressor-(50,)-tanh-0.01-1000",-3.7968
19,"MLPRegressor-(100,)-relu-0.0001-200",-1.1935
20,"MLPRegressor-(100,)-relu-0.0001-500",-1.1063
21,"MLPRegressor-(100,)-relu-0.0001-1000",-1.0039
22,"MLPRegressor-(100,)-relu-0.001-200",-1.0737
23,"MLPRegressor-(100,)-relu-0.001-500",-1.0786
24,"MLPRegressor-(100,)-relu-0.001-1000",-1.0795
25,"MLPRegressor-(100,)-relu-0.01-200",-1.1596
26,"MLPRegressor-(100,)-relu-0.01-500",-1.1567
27,"MLPRegressor-(100,)-relu-0.01-1000",-0.9970
28,"MLPRegressor-(100,)-tanh-0.0001-200",-4.0092
29,"MLPRegressor-(100,)-tanh-0.0001-500",-3.8368
30,"MLPRegressor-(100,)-tanh-0.0001-1000",-3.4056
31,"MLPRegressor-(100,)-tanh-0.001-200",-3.8117
32,"MLPRegressor-(100,)-tanh-0.001-500",-3.5091
33,"MLPRegressor-(100,)-tanh-0.001-1000",-3.5737
34,"MLPRegressor-(100,)-tanh-0.01-200",-3.5629
35,"MLPRegressor-(100,)-tanh-0.01-500",-3.9466
36,"MLPRegressor-(100,)-tanh-0.01-1000",-3.7167
37,"MLPRegressor-(50, 50)-relu-0.0001-200",-0.9401
38,"MLPRegressor-(50, 50)-relu-0.0001-500",-0.9781
39,"MLPRegressor-(50, 50)-relu-0.0001-1000",-1.0032
40,"MLPRegressor-(50, 50)-relu-0.001-200",-0.9674
41,"MLPRegressor-(50, 50)-relu-0.001-500",-1.0177
42,"MLPRegressor-(50, 50)-relu-0.001-1000",-1.0483
43,"MLPRegressor-(50, 50)-relu-0.01-200",-0.9415
44,"MLPRegressor-(50, 50)-relu-0.01-500",-1.0273
45,"MLPRegressor-(50, 50)-relu-0.01-1000",-0.9030
46,"MLPRegressor-(50, 50)-tanh-0.0001-200",-2.8596
47,"MLPRegressor-(50, 50)-tanh-0.0001-500",-3.3335
48,"MLPRegressor-(50, 50)-tanh-0.0001-1000",-3.2008
49,"MLPRegressor-(50, 50)-tanh-0.001-200",-3.0164
50,"MLPRegressor-(50, 50)-tanh-0.001-500",-3.4670
