,Classifier,Accuracy
0,RandomForestRegressor-50-None-2-1,-0.7658
1,RandomForestRegressor-50-None-2-2,-0.7589
2,RandomForestRegressor-50-None-2-4,-0.7887
3,RandomForestRegressor-50-None-5-1,-0.7440
4,RandomForestRegressor-50-None-5-2,-0.7547
5,RandomForestRegressor-50-None-5-4,-0.7650
6,RandomForestRegressor-50-None-10-1,-0.7879
7,RandomForestRegressor-50-None-10-2,-0.7694
8,RandomForestRegressor-50-None-10-4,-0.7754
9,RandomForestRegressor-50-10-2-1,-0.7584
10,RandomForestRegressor-50-10-2-2,-0.7620
11,RandomForestRegressor-50-10-2-4,-0.7727
12,RandomForestRegressor-50-10-5-1,-0.7577
13,RandomForestRegressor-50-10-5-2,-0.7661
14,RandomForestRegressor-50-10-5-4,-0.7566
15,RandomForestRegressor-50-10-10-1,-0.7663
16,RandomForestRegressor-50-10-10-2,-0.7837
17,RandomForestRegressor-50-10-10-4,-0.7796
18,RandomForestRegressor-50-20-2-1,-0.7665
19,RandomForestRegressor-50-20-2-2,-0.7691
20,RandomForestRegressor-50-20-2-4,-0.7799
21,RandomForestRegressor-50-20-5-1,-0.7642
22,RandomForestRegressor-50-20-5-2,-0.7559
23,RandomForestRegressor-50-20-5-4,-0.7736
24,RandomForestRegressor-50-20-10-1,-0.7723
25,RandomForestRegressor-50-20-10-2,-0.7640
26,RandomForestRegressor-50-20-10-4,-0.7817
27,RandomForestRegressor-100-None-2-1,-0.7482
28,RandomForestRegressor-100-None-2-2,-0.7451
29,RandomForestRegressor-100-None-2-4,-0.7592
30,RandomForestRegressor-100-None-5-1,-0.7591
31,RandomForestRegressor-100-None-5-2,-0.7525
32,RandomForestRegressor-100-None-5-4,-0.7621
33,RandomForestRegressor-100-None-10-1,-0.7577
34,RandomForestRegressor-100-None-10-2,-0.7521
35,RandomForestRegressor-100-None-10-4,-0.7667
36,RandomForestRegressor-100-10-2-1,-0.7602
37,RandomForestRegressor-100-10-2-2,-0.7646
38,RandomForestRegressor-100-10-2-4,-0.7658
39,RandomForestRegressor-100-10-5-1,-0.7520
40,RandomForestRegressor-100-10-5-2,-0.7448
41,RandomForestRegressor-100-10-5-4,-0.7620
42,RandomForestRegressor-100-10-10-1,-0.7647
43,RandomForestRegressor-100-10-10-2,-0.7570
44,RandomForestRegressor-100-10-10-4,-0.7632
45,RandomForestRegressor-100-20-2-1,-0.7502
46,RandomForestRegressor-100-20-2-2,-0.7384
47,RandomForestRegressor-100-20-2-4,-0.7580
48,RandomForestRegressor-100-20-5-1,-0.7434
49,RandomForestRegressor-100-20-5-2,-0.7565
50,RandomForestRegressor-100-20-5-4,-0.7568
51,RandomForestRegressor-100-20-10-1,-0.7593
52,RandomForestRegressor-100-20-10-2,-0.7576
53,RandomForestRegressor-100-20-10-4,-0.7576
54,RandomForestRegressor-200-None-2-1,-0.7528
55,RandomForestRegressor-200-None-2-2,-0.7462
56,RandomForestRegressor-200-None-2-4,-0.7583
57,RandomForestRegressor-200-None-5-1,-0.7430
58,RandomForestRegressor-200-None-5-2,-0.7491
59,RandomForestRegressor-200-None-5-4,-0.7613
60,RandomForestRegressor-200-None-10-1,-0.7592
61,RandomForestRegressor-200-None-10-2,-0.7520
62,RandomForestRegressor-200-None-10-4,-0.7630
63,RandomForestRegressor-200-10-2-1,-0.7449
64,RandomForestRegressor-200-10-2-2,-0.7578
65,RandomForestRegressor-200-10-2-4,-0.7527
66,RandomForestRegressor-200-10-5-1,-0.7470
67,RandomForestRegressor-200-10-5-2,-0.7541
68,RandomForestRegressor-200-10-5-4,-0.7595
69,RandomForestRegressor-200-10-10-1,-0.7581
70,RandomForestRegressor-200-10-10-2,-0.7637
71,RandomForestRegressor-200-10-10-4,-0.7705
72,RandomForestRegressor-200-20-2-1,-0.7504
73,RandomForestRegressor-200-20-2-2,-0.7517
74,RandomForestRegressor-200-20-2-4,-0.7520
75,RandomForestRegressor-200-20-5-1,-0.7425
76,RandomForestRegressor-200-20-5-2,-0.7509
77,RandomForestRegressor-200-20-5-4,-0.7563
78,RandomForestRegressor-200-20-10-1,-0.7547
79,RandomForestRegressor-200-20-10-2,-0.7516
80,RandomForestRegressor-200-20-10-4,-0.7598
81,LinearRegression-0.001-l1-liblinear,-0.8406
82,"MLPRegressor-(50,)-relu-0.0001-200",-1.2569
83,"MLPRegressor-(50,)-relu-0.0001-500",-1.7830
84,"MLPRegressor-(50,)-relu-0.0001-1000",-1.7255
85,"MLPRegressor-(50,)-relu-0.001-200",-1.4255
