,Classifier,Accuracy
0,RandomForestRegressor-50-None-2-1,-0.8451
1,RandomForestRegressor-50-None-2-2,-0.8346
2,RandomForestRegressor-50-None-2-4,-0.8371
3,RandomForestRegressor-50-None-5-1,-0.8386
4,RandomForestRegressor-50-None-5-2,-0.8446
5,RandomForestRegressor-50-None-5-4,-0.8319
6,RandomForestRegressor-50-None-10-1,-0.8305
7,RandomForestRegressor-50-None-10-2,-0.8434
8,RandomForestRegressor-50-None-10-4,-0.8365
9,RandomForestRegressor-50-10-2-1,-0.8498
10,RandomForestRegressor-50-10-2-2,-0.8582
11,RandomForestRegressor-50-10-2-4,-0.8518
12,RandomForestRegressor-50-10-5-1,-0.8389
13,RandomForestRegressor-50-10-5-2,-0.8496
14,RandomForestRegressor-50-10-5-4,-0.8699
15,RandomForestRegressor-50-10-10-1,-0.8379
16,RandomForestRegressor-50-10-10-2,-0.8549
17,RandomForestRegressor-50-10-10-4,-0.8521
18,RandomForestRegressor-50-20-2-1,-0.8328
19,RandomForestRegressor-50-20-2-2,-0.8590
20,RandomForestRegressor-50-20-2-4,-0.8494
21,RandomForestRegressor-50-20-5-1,-0.8367
22,RandomForestRegressor-50-20-5-2,-0.8330
23,RandomForestRegressor-50-20-5-4,-0.8677
24,RandomForestRegressor-50-20-10-1,-0.8378
25,RandomForestRegressor-50-20-10-2,-0.8483
26,RandomForestRegressor-50-20-10-4,-0.8340
27,RandomForestRegressor-100-None-2-1,-0.8297
28,RandomForestRegressor-100-None-2-2,-0.8232
29,RandomForestRegressor-100-None-2-4,-0.8498
30,RandomForestRegressor-100-None-5-1,-0.8255
31,RandomForestRegressor-100-None-5-2,-0.8446
32,RandomForestRegressor-100-None-5-4,-0.8330
33,RandomForestRegressor-100-None-10-1,-0.8318
34,RandomForestRegressor-100-None-10-2,-0.8396
35,RandomForestRegressor-100-None-10-4,-0.8381
36,RandomForestRegressor-100-10-2-1,-0.8356
37,RandomForestRegressor-100-10-2-2,-0.8319
38,RandomForestRegressor-100-10-2-4,-0.8357
39,RandomForestRegressor-100-10-5-1,-0.8313
40,RandomForestRegressor-100-10-5-2,-0.8344
41,RandomForestRegressor-100-10-5-4,-0.8331
42,RandomForestRegressor-100-10-10-1,-0.8410
43,RandomForestRegressor-100-10-10-2,-0.8351
44,RandomForestRegressor-100-10-10-4,-0.8332
45,RandomForestRegressor-100-20-2-1,-0.8239
46,RandomForestRegressor-100-20-2-2,-0.8281
47,RandomForestRegressor-100-20-2-4,-0.8314
48,RandomForestRegressor-100-20-5-1,-0.8487
49,RandomForestRegressor-100-20-5-2,-0.8373
50,RandomForestRegressor-100-20-5-4,-0.8364
51,RandomForestRegressor-100-20-10-1,-0.8323
52,RandomForestRegressor-100-20-10-2,-0.8365
53,RandomForestRegressor-100-20-10-4,-0.8305
54,RandomForestRegressor-200-None-2-1,-0.8337
55,RandomForestRegressor-200-None-2-2,-0.8215
56,RandomForestRegressor-200-None-2-4,-0.8299
57,RandomForestRegressor-200-None-5-1,-0.8221
58,RandomForestRegressor-200-None-5-2,-0.8300
59,RandomForestRegressor-200-None-5-4,-0.8275
60,RandomForestRegressor-200-None-10-1,-0.8296
61,RandomForestRegressor-200-None-10-2,-0.8373
62,RandomForestRegressor-200-None-10-4,-0.8196
63,RandomForestRegressor-200-10-2-1,-0.8341
64,RandomForestRegressor-200-10-2-2,-0.8323
65,RandomForestRegressor-200-10-2-4,-0.8308
