,Split,SMILES,target
1511,train,C(=O)(C(c1ccc(S(=O)(=O)CC)cc1)Cn2nccc2)Nc3ccc(C(C(F)(F)F)(C(F)(F)F)O)cc3,63.0
1807,train,C(=O)(N1C[C@](S(=O)(=O)c2ccc(F)cc2)(c3ccc(C(C(F)(F)F)(C(F)(F)F)OCc4c(F)cccc4F)cc3)CC1)N5CCN(C(=O)C)CC5,32.0
183,train,C(#N)c1cc(C(=O)Nc2c3c(c(cn3C)C4CCN(C(=O)C5CCCC5)CC4)ccc2)ccc1,6149.0
137,train,C(C(F)(F)F)(C(F)(F)F)(c1cc2-c3c(C(=O)N(c2cc1)CC(F)(F)F)cccc3)O,9000.0
899,train,C(N(c1c(C(F)(F)F)cc(-c2c(Cl)ccc(C(=O)N)c2)cc1)C)(=O)c3c(F)cccc3Cl,230.0
796,train,C(=O)(N1C[C@](S(=O)(=O)c2cc(F)c(cc2)C)(c3ccc(C(C(F)(F)F)(C(F)(F)F)F)cc3)CC1)[C@@H]4CC[C@@H](C(=O)O)CC4,310.0
132,train,O=C1c2c(-c3c(N1CCCC)ccc(c3)CC)cccc2,9200.0
80,train,C(C(F)(F)F)(C(F)(F)F)(c1cc2-c3c(C(=O)Nc2c(c1)C)cccc3)O,20000.0
1736,train,C(c1n(cnc1)C)(c2cc3c(Cl)c(Oc4ccccc4)c(N(CC)CC)nc3cc2)(c5cnc(OC)cc5)O,39.0
1874,train,C(=O)(c1c(-c2c(c(F)c(S(=O)(=O)N[C@H](C(F)(F)F)CC)cc2)C(F)F)sc(C(=O)NCC(O)(C)C)n1)N3[C@H](CCCC3)C,26.0
541,train,C(c1c(nc(cc1)C)C)(c2n(nnc2)C)(c3cc4c(Cl)c(c(OC)nc4cc3)CC(C)C)O,844.0
1862,train,C(C(c1c(F)cc(NC(=O)Cc2ccc(S(=O)(=O)CC)cc2)cc1)(C)C)(=O)Nc3ccc(F)cc3,27.5
983,train,C(=O)(N1C[C@](S(=O)(=O)c2ccc(F)cc2)(c3ccc(C(C(F)(F)F)(C(F)(F)F)F)cc3)CC1)N4CCC(C(=O)O)CC4,187.0
165,train,N(S(=O)(=O)Cc1ccccc1)(Cc2sc(-c3cncnc3)cc2)CC(C)C,7000.0
248,train,C(=O)(N1C[C@](S(=O)(=O)c2ccc(O)cc2)(c3ccc(C(C(F)(F)F)(C(F)(F)F)F)cc3)CC1)[C@@H]4CC[C@@H](C(=O)O)CC4,4222.0
446,train,C(C(C(F)(F)F)(c1ccc(C2(S(=O)(=O)c3ccccc3)CN(S(=O)(=O)c4ccc(F)cc4)CC2)cc1)O)(F)(F)F,1414.0
1337,train,C(=O)(N1C[C@](S(=O)(=O)c2ccc(F)cc2)(c3ccc(C(C(F)(F)F)(C(F)(F)F)OCc4c(F)cccc4F)cc3)CC1)N5C[C@@H](C(=O)O)CCC5,90.0
858,train,C(=O)(C1C(=O)[C@@H]([C@@H]2[C@](c3c(c(-c4ccccc4)nc(-c5ccncc5)n3)CC2)(C=1)C)C)N,258.5
1808,train,N(S(=O)(=O)Cc1ccccc1)(Cc2ccc(-c3ccc(S(=O)(=O)C)cc3)cc2)CC(C)C,32.0
97,train,C(=O)(N1CCCCC1)CC(c2c(OC)cc(OC)cc2O)c3cc4c(OCO4)cc3,15700.0
2067,train,C(=O)(c1c(-c2c(Cl)c(Cl)c(S(=O)(=O)N[C@H](C(F)(F)F)C(C)(C)C)cc2)sc(C(=O)NCC(O)(C)C)n1)N3CCC(F)CC3,8.0
805,train,C(=O)(c1c(C(F)(F)F)cccc1Cl)n2c3c(c(F)ccc3)c(n2)N4CCC(C(=O)O)CC4,300.0
737,train,C(=O)(OC(C)C)N1CC(S(=O)(=O)c2ccc(F)cc2)(c3ccc(C(C(F)(F)F)(C(F)(F)F)O)cc3)CC1,381.0
1464,train,C(=O)(Nc1cc(Cl)c(c(Cl)c1)-c2c(OC(F)(F)F)cccc2)NCc3ccc(S(=O)(=O)C)cc3,69.0
102,train,C(=O)(c1c(F)cccc1Cl)Nc2cc3c(cc2)CCCN3S(=O)(=O)c4ccc(F)cc4,15000.0
434,train,C(=O)(c1cnc(cc1)C)NC2C(=C(O[C@H]3C[C@@H](N(C(=O)CC(C(F)(F)F)C(F)(F)F)CC3)C)c4ncnn4C=2)C,1500.0
74,train,C(=O)(N1CCCCCC1)CC(c2c(OC)cc(OC)cc2O)c3cc4c(OCO4)cc3,22500.0
577,train,C(C(F)(F)F)(C(F)(F)F)(c1ccc(N(S(=O)(=O)c2cnccc2)CC(F)(F)F)cc1)O,748.0
1455,train,C(N(c1c(N2CC3C(C2)C3)cc(-c4n(nc(NC(=O)CN(C)C)c4)C(C)C)cc1)C([2H])([2H])([2H]))(=O)c5c(F)cccc5Cl,70.0
1463,train,C(=O)([C@@]1(CC=C)CC[C@H](C(=O)O)CC1)N2C[C@](S(=O)(=O)c3cc(c(F)cc3)C)(c4ccc(C(C(F)(F)F)(C(F)(F)F)F)cc4)CC2,69.0
1230,train,C(=O)(N1CCN(c2c(F)cc(cc2)CN(S(=O)(=O)Cc3ccccc3)C4CCC4)CC1)C,110.0
918,train,C(=O)(N1CCN(c2cc(F)c(cc2)CN(S(=O)(=O)c3ccc(F)cc3)C4CCC4)CC1)C,219.0
1326,train,C(=O)(N1C[C@](S(=O)(=O)c2ccc(F)cc2)(c3cc(F)c(-c4ccccc4)cc3)CC1)[C@@H]5CC[C@@H](C(=O)O)CC5,92.0
1999,train,C(c1c(nc(cc1)C)C)(c2n(nnc2)C)(c3cc4c(Cl)c(c(OC)nc4cc3)C5CCCC5)O,14.0
1949,train,C(N(c1c(N2CC3C(C2)C3)cc(-c4n(nc(NC(=O)NCCO)c4)C(C)C)cc1)C([2H])([2H])([2H]))(=O)c5c(F)cccc5Cl,18.0
1890,train,C(=O)(N1C[C@](S(=O)(=O)c2ccc(F)cc2)(c3ccc(C(C(F)(F)F)(C(F)(F)F)OCC4CC4)cc3)CC1)[C@@H]5CC[C@@H](C(=O)O)CC5,25.0
762,train,C(N(C)C)(=O)C1(C(=O)N2C[C@](S(=O)(=O)c3ccc(F)cc3)(c4ccc(C(C(F)(F)F)(C(F)(F)F)F)cc4)CC2)CCS(=O)(=O)CC1,347.0
989,train,C(N(C(C(=O)Nc1ccc(C(C)(C)C)cc1)c2ccc(OC)cc2)C)(=O)C3C=CC(=O)NC=3,185.0
388,train,C(N(c1c(F)cc(-c2c(Cl)ccc(C(=O)N)c2)cc1)C)(=O)c3c(F)cccc3Cl,1930.0
235,train,N(S(=O)(=O)Cc1ccccc1)(Cc2ccc(NCCO)cc2)CC(C)C,4700.0
1762,train,C(=O)(N1CCN(c2cc(F)c(cc2)CN(S(=O)(=O)c3c(F)cc(F)cc3)C4CCC4)CC1)C,36.0
267,train,C(=O)(OC)c1ccc(NC(=O)CN(S(=O)(=O)c2ccc(cc2)C)c3cc(C(F)(F)F)ccc3)cc1,3980.0
1329,train,C(=O)(N1c2c(ccc(c2)CC(C)C)CCC1)Cc3ccc(NC(=O)Cc4ccc(S(=O)(=O)CC)cc4)cc3,91.25
1380,train,C(=O)(c1c(Cl)ccc([N+](=O)[O-])c1)Nc2c(F)cccc2,81.0
117,train,O([C@@H]1O[C@@H]([C@@H](O[C@@H]2O[C@@H]([C@@H](O)[C@@H](O)C2)C)[C@@H](O)C1)C)[C@@H]3[C@H](O[C@@H](O[C@@H]4C[C@@H]5[C@@]([C@@H]6[C@H]([C@@]7([C@@]([C@@H](C(CO)CCO)CC7)([C@H](O)C6)C)O)CC5)(CC4)C)C[C@@H]3O)C,12000.0
1918,train,C(F)(F)(F)c1c(n(-c2c(Cl)c(N3CC(c4nnn[nH]4)C3)ccc2Cl)c(-c5oc(Cl)cc5)n1)C,21.0
673,train,C(=O)(N1C[C@](S(=O)(=O)c2ccc(F)cc2)(c3ccc(C(C(F)(F)F)(C(F)(F)F)O)cc3)CC1)Cc4ccc(S(=O)(=O)CC)cc4,485.0
249,train,C(N(c1c(cc(-c2c(Cl)ccc(C(=O)N)c2)cc1)C)C)(=O)c3c(F)cccc3Cl,4220.0
2109,train,C(=O)(Nc1cc2c(n(cc2)CCc3c(Cl)cc(Cl)cc3)cc1)Cc4ccc(S(=O)(=O)CC)cc4,6.0
2182,train,C(=O)(c1nc(c(-c2c(Cl)c(c(S(=O)(=O)NC(CC)(C)C)cc2)C)s1)CC3CCCCC3)N[C@@H]4C[C@@H](C(=O)O)C4,1.1
94,train,C(=O)(Nc1cc2c3c(n(c2cc1)CC)cccc3)NCc4ccc(S(=O)(=O)CC)cc4,16200.0
33,train,C(=O)(c1c(-c2cc(C(F)(F)F)ccc2)nc(s1)N)c3c(C(F)(F)F)cccc3,40000.0
1710,train,N(S(=O)(=O)c1cc(F)c(N2CCN(S(=O)(=O)C)CC2)cc1)(CC(C)C)CCc3ccccc3,41.0
1946,train,C(=O)(N1[C@@H](C(=O)Nc2cc(F)c3c(c2)CCC3(C)C)c4c(nc(OC)cc4)CC1)[C@@H]5C[C@@H](C(=O)O)C5,18.3
448,train,C(#N)c1c(Cl)cc(NC(=O)CC(CC(=O)Nc2cc3c(N(C(=O)CO3)CC)cc2)C)cc1,1400.0
716,train,N(S(=O)(=O)Cc1ccccc1)(Cc2ccc(N3CC(N(C)C)CC3)cc2)CC(C)C,405.0
