,model,set,rmse,mse,mae,r2
0,RandomForestRegressor,test,0.7007381759530488,0.491033991238006,0.5425587306133145,0.7305994053440942
1,RandomForestRegressor,valid,0.6924919553621108,0.4795451082412397,0.5172503004136095,0.7163998418367996
2,LinearRegression,test,3.5797579415337184,12.814666919973726,1.8354871385690792,-6.030631178616216
3,LinearRegression,valid,19.952064602563127,398.0848819048525,4.1860628997481495,-234.42505914542923
4,MLPRegressor,test,0.8669174933897861,0.7515459403452298,0.6876535432423452,0.5876722857214576
5,MLPRegressor,valid,0.7540064213844418,0.5685256834889725,0.6025678921988978,0.6637772526787951
6,GradientBoostingRegressor,test,0.7015048137143658,0.49210900366442706,0.5461922551116715,0.7300096111707618
7,GradientBoostingRegressor,valid,0.6928980983594754,0.4801077747101772,0.5242011843131605,0.7160670841945227
8,SVR,test,0.7673992774203482,0.5889016509852725,0.5861397563961007,0.676905351156477
9,SVR,valid,0.6510818713272698,0.42390760317101955,0.5025744151202853,0.7493035352882665
